MYlive，CVS格式化源

香港HK,#genre#
凤凰中文台,http://url.cdnhs.store:48559/hstw.php?id=MytvPhoenixChinese
凤凰中文台,http://url.cdnhs.store:48559/hstw.php?id=PCC
凤凰中文台,http://url.cdnhs.store:48559/hstw.php?id=MytvPhoenixChinese
凤凰中文台,http://url.cdnhs.store:48559/hstw.php?id=PCC
星空卫视,http://url.cdnhs.store:48559/hstw.php?id=STARXingKong
星空卫视,http://url.cdnhs.store:48559/hstw.php?id=STARXingKong
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHKBG
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHK
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseOperaHK
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHKBG
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseDramaChannelHK
Now華劇台,http://url.cdnhs.store:48559/hstw.php?id=NowChineseOperaHK
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=ViuchannelHKBG
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=ViuchannelHK
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=NowDramaSeriesHK
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=ViuchannelHKBG
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=ViuchannelHK
Now劇集台,http://url.cdnhs.store:48559/hstw.php?id=NowDramaSeriesHK
TVB功夫台,http://url.cdnhs.store:48559/hstw.php?id=AsiaActionHK
TVB功夫台,http://url.cdnhs.store:48559/hstw.php?id=AsiaActionCN
TVB功夫台,http://url.cdnhs.store:48559/hstw.php?id=AsiaActionHK
TVB功夫台,http://url.cdnhs.store:48559/hstw.php?id=AsiaActionCN
香港卫视HKS,http://url.cdnhs.store:48559/hstw.php?id=HKS
香港卫视HKS,http://url.cdnhs.store:48559/hstw.php?id=NHKS
香港卫视HKS,http://url.cdnhs.store:48559/hstw.php?id=HKS
HOY76,http://url.cdnhs.store:48559/hstw.php?id=HOYChannel76
HOY76,http://url.cdnhs.store:48559/hstw.php?id=hoych76
HOY76,http://url.cdnhs.store:48559/hstw.php?id=hkintfinance
HOY77,http://url.cdnhs.store:48559/hstw.php?id=HOYChannel77
HOY77,http://url.cdnhs.store:48559/hstw.php?id=hoych77
